year,oni_grow
1950,-0.5499999999999999
1951,0.7999999999999999
1952,0.025
1953,0.75
1954,-0.7000000000000001
1955,-0.7999999999999999
1956,-0.55
1957,1.25
1958,0.5
1959,-0.17500000000000002
1960,0.15000000000000002
1961,1.3877787807814457e-17
1962,-0.1
1963,0.925
1964,-0.675
1965,1.35
1966,0.1
1967,-0.125
1968,0.44999999999999996
1969,0.525
1970,-0.625
1971,-0.7749999999999999
1972,1.25
1973,-1.2
1974,-0.525
1975,-1.1749999999999998
1976,0.30000000000000004
1977,0.42500000000000004
1978,-0.375
1979,0.125
1980,0.17500000000000002
1981,-0.25
1982,1.05
1983,0.1
1984,-0.27499999999999997
1985,-0.5
1986,0.325
1987,1.5
1988,-1.225
1989,-0.3
1990,0.35
1991,0.625
1992,0.275
1993,0.35
1994,0.45000000000000007
1995,-0.375
1996,-0.32499999999999996
1997,1.6999999999999997
1998,-0.825
1999,-1.1
2000,-0.55
2001,-0.125
2002,0.85
2003,0.1
2004,0.5249999999999999
2005,-0.05
2006,0.225
2007,-0.75
2008,-0.35
2009,0.5249999999999999
2010,-1.15
2011,-0.55
2012,0.30000000000000004
2013,-0.3
2014,0.175
2015,1.7500000000000002
2016,-0.35
2017,0.05000000000000003
2018,0.25
2019,0.3
2020,-0.47500000000000003
2021,-0.4
2022,-0.875
2023,1.225
2024,6.938893903907228e-18
