Year,Area_Harvested_ha,CH4_Emissions_Gg,CO2e_Emissions_Gg,CO2e_Emissions_Mt
1961,6120000.0000,795.6000,22276.8000,22.2768
1962,6540000.0000,850.2000,23805.6000,23.8056
1963,6500000.0000,845.0000,23660.0000,23.6600
1964,6310000.0000,820.3000,22968.4000,22.9684
1965,6270000.0000,815.1000,22822.8000,22.8228
1966,7353000.0000,955.8900,26764.9200,26.7649
1967,6400000.0000,832.0000,23296.0000,23.2960
1968,6940000.0000,902.2000,25261.6000,25.2616
1969,7259000.0000,943.6700,26422.7600,26.4228
1970,6854000.0000,891.0200,24948.5600,24.9486
1971,7096000.0000,922.4800,25829.4400,25.8294
1972,6780000.0000,881.4000,24679.2000,24.6792
1973,7743000.0000,1006.5900,28184.5200,28.1845
1974,7333000.0000,953.2900,26692.1200,26.6921
1975,8357000.0000,1086.4100,30419.4800,30.4195
1976,8167000.0000,1061.7100,29727.8800,29.7279
1977,8750000.0000,1137.5000,31850.0000,31.8500
1978,8935000.0000,1161.5500,32523.4000,32.5234
1979,8654000.0000,1125.0200,31500.5600,31.5006
1980,9200080.0000,1196.0104,33488.2912,33.4883
1981,9105026.0000,1183.6534,33142.2946,33.1423
1982,8940017.0000,1162.2022,32541.6619,32.5417
1983,9606013.0000,1248.7817,34965.8873,34.9659
1984,9629710.0000,1251.8623,35052.1444,35.0521
1985,9833074.0000,1278.2996,35792.3894,35.7924
1986,9194021.0000,1195.2227,33466.2364,33.4662
1987,9147076.0000,1189.1199,33295.3566,33.2954
1988,9905932.0000,1287.7712,36057.5925,36.0576
1989,9879040.0000,1284.2752,35959.7056,35.9597
1990,8791885.0000,1142.9451,32002.4614,32.0025
1991,8935000.0000,1161.5500,32523.4000,32.5234
1992,9213000.0000,1197.6900,33535.3200,33.5353
1993,8648000.0000,1124.2400,31478.7200,31.4787
1994,8777000.0000,1141.0100,31948.2800,31.9483
1995,8848000.0000,1150.2400,32206.7200,32.2067
1996,9197000.0000,1195.6100,33477.0800,33.4771
1997,9795000.0000,1273.3500,35653.8000,35.6538
1998,9626000.0000,1251.3800,35038.6400,35.0386
1999,9774000.0000,1270.6200,35577.3600,35.5774
2000,9715160.0000,1262.9708,35363.1824,35.3632
2001,10180000.0000,1323.4000,37055.2000,37.0552
2002,9472800.0000,1231.4640,34480.9920,34.4810
2003,10192160.0000,1324.9808,37099.4624,37.0995
2004,10085280.0000,1311.0864,36710.4192,36.7104
2005,10042080.0000,1305.4704,36553.1712,36.5532
2006,10139520.0000,1318.1376,36907.8528,36.9079
2007,10227840.0000,1329.6192,37229.3376,37.2293
2008,10747785.0000,1397.2120,39121.9374,39.1219
2009,10740268.0000,1396.2348,39094.5755,39.0946
2010,11932298.0000,1551.1987,43433.5647,43.4336
2011,11649478.0000,1514.4321,42404.0999,42.4041
2012,12278889.0000,1596.2556,44695.1560,44.6952
2013,11855873.0000,1541.2635,43155.3777,43.1554
2014,11702085.0000,1521.2710,42595.5894,42.5956
2015,10160728.0000,1320.8946,36985.0499,36.9850
2016,9860100.0000,1281.8130,35890.7640,35.8908
2017,10458562.0000,1359.6131,38069.1657,38.0692
2018,10826007.0000,1407.3809,39406.6655,39.4067
2019,10404870.0000,1352.6331,37873.7268,37.8737
2020,10770400.0000,1400.1520,39204.2560,39.2043
2021,10970949.0000,1426.2234,39934.2544,39.9343
2022,11041540.0000,1435.4002,40191.2056,40.1912
2023,11338932.0000,1474.0612,41273.7125,41.2737
2024,11248558.0000,1462.3125,40944.7511,40.9448
