year_BE,year_CE,season,province_th,province_en,area_planted_rai,area_harvested_rai,production_ton,yield_planted_kg_rai,yield_harvested_kg_rai,source_file,area_harvested_ha
2565,2022,dry,กรุงเทพมหานคร,Bangkok,73642.0,73539.0,48128.0,654.0,654.0,2565-1.pdf,11766.24
2565,2022,dry,กาญจนบุรี,Kanchanaburi,179580.0,179128.0,131152.0,730.0,732.0,2565-1.pdf,28660.48
2565,2022,dry,กาฬสินธุ,Kalasin,275846.0,274887.0,179656.0,651.0,654.0,2565-1.pdf,43981.92
2565,2022,dry,กําแพงเพชร,Kamphaeng Phet,387923.0,387700.0,241027.0,621.0,622.0,2565-1.pdf,62032.0
2565,2022,dry,ขอนแกน,Khon Kaen,138692.0,138243.0,79951.0,576.0,578.0,2565-1.pdf,22118.88
2565,2022,dry,ฉะเชิงเทรา,Chachoengsao,319324.0,316756.0,214637.0,672.0,678.0,2565-1.pdf,50680.96
2565,2022,dry,ชลบุรี,Chon Buri,33904.0,33674.0,22307.0,658.0,662.0,2565-1.pdf,5387.84
2565,2022,dry,ชัยนาท,Chai Nat,367415.0,367056.0,243526.0,663.0,663.0,2565-1.pdf,58728.96
2565,2022,dry,ชัยภูมิ,Chaiyaphum,82273.0,82019.0,51299.0,624.0,625.0,2565-1.pdf,13123.04
2565,2022,dry,ชุมพร,Chumphon,459.0,459.0,228.0,497.0,497.0,2565-1.pdf,73.44
2565,2022,dry,ตราด,Trat,2514.0,2462.0,1389.0,553.0,564.0,2565-1.pdf,393.92
2565,2022,dry,ตาก,Tak,13228.0,13204.0,7213.0,545.0,546.0,2565-1.pdf,2112.64
2565,2022,dry,นครนายก,Nakhon Nayok,153453.0,152805.0,100217.0,653.0,656.0,2565-1.pdf,24448.8
2565,2022,dry,นครปฐม,Nakhon Pathom,235142.0,234775.0,181153.0,770.0,772.0,2565-1.pdf,37564.0
2565,2022,dry,นครพนม,Nakhon Phanom,70823.0,70376.0,36385.0,514.0,517.0,2565-1.pdf,11260.16
2565,2022,dry,นครราชสีมา,Nakhon Ratchasima,270428.0,269407.0,172565.0,638.0,641.0,2565-1.pdf,43105.12
2565,2022,dry,นครศรีธรรมราช,Nakhon Si Thammarat,5179.0,5179.0,2416.0,466.0,466.0,2565-1.pdf,828.64
2565,2022,dry,นครสวรรค,Nakhon Sawan,525436.0,521396.0,346383.0,659.0,664.0,2565-1.pdf,83423.36
2565,2022,dry,นนทบุรี,Nonthaburi,77993.0,77962.0,56382.0,723.0,723.0,2565-1.pdf,12473.92
2565,2022,dry,นราธิวาส,Narathiwat,580.0,580.0,298.0,514.0,514.0,2565-1.pdf,92.8
2565,2022,dry,นาน,Nan,12578.0,12543.0,7175.0,570.0,572.0,2565-1.pdf,2006.88
2565,2022,dry,บึงกาฬ,Bueng Kan,14692.0,14582.0,7520.0,512.0,516.0,2565-1.pdf,2333.12
2565,2022,dry,บุรีรัมย,Buri Ram,43669.0,43423.0,22614.0,518.0,521.0,2565-1.pdf,6947.68
2565,2022,dry,ปตตานี,Pattani,20508.0,20508.0,12634.0,616.0,616.0,2565-1.pdf,3281.28
