Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1961","1961","ha","6120000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1961","1961","kg/ha","1658.5","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1961","1961","t","10150000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1962","1962","ha","6540000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1962","1962","kg/ha","1720.2","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1962","1962","t","11250000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1963","1963","ha","6500000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1963","1963","kg/ha","1872.5","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1963","1963","t","12171000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1964","1964","ha","6310000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1964","1964","kg/ha","1838.4","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1964","1964","t","11600000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1965","1965","ha","6270000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1965","1965","kg/ha","1780.5","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1965","1965","t","11164000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1966","1966","ha","7353000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1966","1966","kg/ha","1836","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1966","1966","t","13500000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1967","1967","ha","6400000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1967","1967","kg/ha","1749.7","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1967","1967","t","11198000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1968","1968","ha","6940000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1968","1968","kg/ha","1788.2","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1968","1968","t","12410000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1969","1969","ha","7259000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1969","1969","kg/ha","1847.4","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1969","1969","t","13410000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1970","1970","ha","6854000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1970","1970","kg/ha","2020.7","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1970","1970","t","13850000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1971","1971","ha","7096000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1971","1971","kg/ha","1936.9","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1971","1971","t","13744000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1972","1972","ha","6780000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1972","1972","kg/ha","1830.8","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1972","1972","t","12413000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1973","1973","ha","7743000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1973","1973","kg/ha","1924.2","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1973","1973","t","14899000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1974","1974","ha","7333000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1974","1974","kg/ha","1825.4","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1974","1974","t","13386000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1975","1975","ha","8357000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1975","1975","kg/ha","1830.8","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1975","1975","t","15300000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1976","1976","ha","8167000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1976","1976","kg/ha","1845","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1976","1976","t","15068000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1977","1977","ha","8750000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1977","1977","kg/ha","1591","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1977","1977","t","13921000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1978","1978","ha","8935000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1978","1978","kg/ha","1955.2","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1978","1978","t","17470000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1979","1979","ha","8654000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1979","1979","kg/ha","1820.9","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1979","1979","t","15758000","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1980","1980","ha","9200080","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","1980","1980","kg/ha","1887.8","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1980","1980","t","17368096","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","1981","1981","ha","9105026","A","Official figure",""
