year,year_crop,province_name,commod,subcommod,attribute,values,unit,data_date
2563,2563/64,ประเทศไทย,ข้าว,ข้าวนาปี,เนื้อที่เก็บเกี่ยว,60093788,ไร่,1/11/2024
2563,2563/64,ประเทศไทย,ข้าว,ข้าวนาปี,เนื้อที่เพาะปลูก,62437542,ไร่,1/11/2024
2563,2563/64,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิต,26423822,ตัน,1/11/2024
2563,2563/64,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,440,กก./ไร่,1/11/2024
2563,2563/64,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิตต่อเนื้อที่เพาะปลูก,423,กก./ไร่,1/11/2024
2564,2564/65,ประเทศไทย,ข้าว,ข้าวนาปี,เนื้อที่เก็บเกี่ยว,60261293,ไร่,1/11/2024
2564,2564/65,ประเทศไทย,ข้าว,ข้าวนาปี,เนื้อที่เพาะปลูก,63012636,ไร่,1/11/2024
2564,2564/65,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิต,26806578,ตัน,1/11/2024
2564,2564/65,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,445,กก./ไร่,1/11/2024
2564,2564/65,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิตต่อเนื้อที่เพาะปลูก,425,กก./ไร่,1/11/2024
2565,2565/66,ประเทศไทย,ข้าว,ข้าวนาปี,เนื้อที่เก็บเกี่ยว,59491825,ไร่,1/11/2024
2565,2565/66,ประเทศไทย,ข้าว,ข้าวนาปี,เนื้อที่เพาะปลูก,62838047,ไร่,1/11/2024
2565,2565/66,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิต,26711735,ตัน,1/11/2024
2565,2565/66,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,449,กก./ไร่,1/11/2024
2565,2565/66,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิตต่อเนื้อที่เพาะปลูก,425,กก./ไร่,1/11/2024
2566,2566/67,ประเทศไทย,ข้าว,ข้าวนาปี,เนื้อที่เก็บเกี่ยว,60287297,ไร่,1/11/2024
2566,2566/67,ประเทศไทย,ข้าว,ข้าวนาปี,เนื้อที่เพาะปลูก,62098142,ไร่,1/11/2024
2566,2566/67,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิต,26933808,ตัน,1/11/2024
2566,2566/67,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,447,กก./ไร่,1/11/2024
2566,2566/67,ประเทศไทย,ข้าว,ข้าวนาปี,ผลผลิตต่อเนื้อที่เพาะปลูก,434,กก./ไร่,1/11/2024
